V4	dis2ts_3MBPP1_30Cr1_pr_counts	dis2ts_3MBPP1_30Cr1gb_counts	dis2ts_3MBPP1_30Cr1term_counts	dis2ts_3MBPP1_30Cr1pr_map	dis2ts_3MBPP1_30Cr1gb_map	dis2ts_3MBPP1_30Cr1term_map	dis2ts_3MBPP1_30Cr1pr_density	dis2ts_3MBPP1_30Cr1pr_densityRPKM	dis2ts_3MBPP1_30Cr1gb_density	dis2ts_3MBPP1_30Cr1gb_densityRPKM	dis2ts_3MBPP1_30Cr1pause_index_CI_low	dis2ts_3MBPP1_30Cr1pause_index_CI_high	dis2ts_3MBPP1_30Cr1pause_index_scaled	dis2ts_3MBPP1_30Cr1pause_index_CI_low_scaled	dis2ts_3MBPP1_30Cr1pause_index_CI_high_scaled	dis2ts_3MBPP1_30Cr1_ExpPR	dis2ts_3MBPP1_30Cr1_ExpGB	dis2ts_3MBPP1_30Cr1Fexact_Pval
SPAC1002.01	29	29	33	100	481	300	0.29	125.220106722074	0.0602910602910603	26.0332862208055	0.580565148598378	1.72245957652511	4.81	2.7925183647582	8.28503056308578	7	122	0.000532000472541773
SPAC1002.02	12	102	30	100	837	300	0.12	51.8152165746515	0.121863799283154	52.6199929372207	0.0615456160646842	0.21981672735512	0.984705882352941	0.515136806461407	1.83986600796236	12	100	1
SPAC1002.03c	10	233	75	100	2955	300	0.1	43.1793471455429	0.0788494077834179	34.0466595090068	0.0214994904898291	0.08302607870581	1.26824034334764	0.635309943974451	2.45342062575669	8	102	1
SPAC1002.04c	29	94	18	100	641	300	0.29	125.220106722074	0.146645865834633	63.3207274833234	0.198980885626866	0.475884119066897	1.97755319148936	1.27546747686821	3.05041720321881	16	113	1
SPAC1002.05c	4	153	107	100	2086	300	0.04	17.2717388582172	0.073346116970278	31.6703744643723	0.00826042313032436	0.0730259807761391	0.545359477124183	0.172312426498566	1.52332195899026	7	97	1
SPAC1002.06c	12	15	10	100	311	300	0.12	51.8152165746515	0.0482315112540193	20.8260516779146	0.352071156876083	1.80594285652979	2.488	1.09494129788462	5.61648228380765	5	107	1
SPAC1002.07c	17	67	43	100	1084	300	0.17	73.4048901474229	0.0618081180811808	26.6883418704001	0.143598418312032	0.442935885473755	2.75044776119403	1.55660685450243	4.8014249985355	6	111	1
SPAC1002.08c	36	125	42	100	1783	300	0.36	155.445649723954	0.0701065619742008	30.2715557666453	0.195296642232445	0.423104504933692	5.13504	3.4821391310045	7.54395332296773	8	128	4.26430760310183e-08
SPAC1002.09c	11	399	38	100	2132	300	0.11	47.4972818600972	0.187148217636023	80.8093785697543	0.0143731836859626	0.0514469275700038	0.587769423558897	0.306436276184724	1.09684849579248	17	94	1
SPAC1002.10c	10	62	73	100	1806	300	0.1	43.1793471455429	0.0343300110741971	14.8234746568309	0.0777860923666748	0.324862315084089	2.91290322580645	1.40481682814215	5.86701341041864	3	107	1
SPAC1002.11	10	80	38	100	1871	300	0.1	43.1793471455429	0.0427578834847675	18.4625749419745	0.0609759414131493	0.248717614343034	2.33875	1.14085986384002	4.65350656435817	4	106	1
SPAC1002.12c	30	249	28	100	1692	300	0.3	129.538041436629	0.147163120567376	63.5440747000011	0.0809125288591239	0.178377237901339	2.03855421686747	1.36903998829638	3.01814286529066	16	114	1
